stuId	tag	university	major	majorCategory
6diu46iE7w		跡見学園女子大学	文学部臨床心理学科	文系
XzYp8zj7M3		神奈川大学	工学部 物質生命化学科	理系
OnQKolzC6a		金城学院大学	国際情報学部 国際情報学科	文系
YHILuVkO1b		中央大学	商学部 商業・貿易学科	文系
Q34MGLiaDN		北海道東海大学	国際文化学部	文系
vgSjPJ3QkX		早稲田大学	先進理工学部応用物理学科	理系
bRjiAQN0U7	IT,コンサルティング,広告	明治大学	商学部商学科	文系
HqUrOuJUXU		東北大学	経済学部経営学科	文系
a4M5ACA09w	食品・飲料,コンサルティング,IT,銀行・信金,証券,サービス	山形大学	理学部数理科学科	理系
JHWF11MHe0		昭和女子大学	生活科学部健康デザイン学科	理系
lEuzVhjsYy		茨城大学	人文学部社会科学科	文系
IX9rypq1BF		東京農業大学	農学部 バイオセラピー学科	理系
2sqqX7CN4R	コンサルティング,インフラ,商社,不動産,住宅・建設	新潟大学	法学部法学科	文系
le2xSCW4cu		文京学院大学	経営学部経営コミュニケーション学科	文系
qiKoHoPFfj	ホテル・レジャー,サービス,コンサルティング,商社,IT,旅行,不動産	早稲田大学	文化構想学部	文系
mrNlFmUr9r		愛知大学	経済学部経済学科	文系
hGnnuOBawC	IT,化粧品・医薬,コンサルティング	長崎大学	多文化社会学部多文化社会学科	文系
uKixIsA0cV		上智大学	法学部地球環境法学科	文系
G2VELUzBUG		中央大学	経済学部国際経済学科	文系
DSJeWuJJwH		中央学院大学	法学部 行政学科	文系
DLdgWynJnu		横浜商科大学	商学部商学科	文系
K1Te38vjmZ		関東学院大学	理工学部理工学科情報ネットメディアコース	理系
hmV7r0PHyr	化学・石油	九州産業大学	国際文化学部国際文化学科	文系
ETCKKwchH9		帝京大学	法学部法律学科	文系
G3Y1YoqyFr		帝京大学	経済学部経済学科	文系
mDBVDmBXsb		獨協大学	経済学部 国際環境経済学科	文系
o1lp1pQBSZ		明治学院大学	けいさ゛い こくさいけいえい	文系
Dbn5ZTQ1SF		日本経済大学	経営学部経営学科	文系
pjHSJplHD6		獨協大学	経済学部 国際環境経済学科	文系
Us2UYDdhfJ		桜美林大学	ビジネスマネジメント学群	文系
hRZkPp9vSX		上智大学	総合グローバル学部総合グローバル学科	文系
LDl6Z71QfE		西南学院大学	経済学部経済学科	文系
Ur3yWMAeqn	コンサルティング,IT,商社	高崎経済大学	経済学部	文系
JMB0maqqzH		慶應義塾大学	総合政策学部	文系
7gRz5LbtK4		明治学院大学	経済学部経済学科	文系
BdaPvBfZ9G		東京学芸大学	学校心理専攻	文系
JRwN5WmU6M	食品・飲料,IT,コンサルティング,インフラ	青山学院大学	国際政治経済学部	文系
Ue8rsh1ghQ		北九州市立大学	法学部法律学科	文系
DVJm8FLuu7		防衛大学校	電気情報学群通信工学科	理系
aZDgYbWsDa		東京情報大学	総合情報学科	文系
Faw1KFDxlM		日本女子大学	人間社会学部文化学科	文系
1Vkbowah4A		東京学芸大学	教育学部学校教育系A類学校心理選修	その他
FhAskH2m8n	人材・教育,旅行	東海大学	文学部ヨーロッパ文明学科	文系
l95iv8d7BV		早稲田大学	教育学部数学科	理系
J67sLwlbCV		金沢大学	人間社会学域法学類	文系
qaQqkzA7Ak		昭和女子大学	グローバルビジネス学部	文系
oPx1eoCulB	広告,食品・飲料,農林・水産	早稲田大学	スポーツ科学部スポーツ科学科	文系
swnNeAGolQ	IT,ゲーム,広告,マスコミ,ソフトウェア,運輸・物流,インフラ,コンサルティング,商社,人材・教育,流通・小売,出版・印刷,鉄道・航空,旅行	武蔵野大学大学院	言語文化研究科言語文化専攻	文系
AUnxicOIDA		明治大学	商学部商学科	文系
BORPhbsHc3		東洋大学	国際地域学部	文系
mgZUSTqekE	出版・印刷,IT,商社,サービス,マスコミ,広告,ゲーム,ソフトウェア,コンサルティング	明治大学	文学部史学地理学科	文系
QvqZR7Jwid		立教大学	経済学部会計ファイナンス学科	文系
